"FREQ","U1(OP)"
1000,72.0392
1258.925412,72.038
1584.893192,72.0363
1995.262315,72.0335
2511.886432,72.029
3162.27766,72.022
3981.071706,72.0108
5011.872336,71.9932
6309.573445,71.9655
7943.282347,71.9219
10000,71.8537
12589.25412,71.7477
15848.93192,71.5848
19952.62315,71.3386
25118.86432,70.975
31622.7766,70.4545
39810.71706,69.7394
50118.72336,68.8031
63095.73445,67.639
79432.82347,66.2635
100000,64.7093
125892.5412,63.0162
158489.3192,61.2216
199526.2315,59.3564
251188.6432,57.4437
316227.766,55.4997
398107.1706,53.5354
501187.2336,51.5581
630957.3445,49.5726
794328.2347,47.5819
1000000,45.5879
1258925.412,43.5919
1584893.192,41.5949
1995262.315,39.5973
2511886.432,37.5999
3162277.66,35.603
3981071.706,33.6073
5011872.336,31.6137
6309573.445,29.6231
7943282.347,27.637
10000000,25.6567
12589254.12,23.6835
15848931.92,21.7172
19952623.15,19.756
25118864.32,17.7954
31622776.6,15.8293
39810717.06,13.8513
50118723.36,11.8559
63095734.45,9.83726
79432823.47,7.78816
100000000,5.69746
125892541.2,3.5482
158489319.2,1.31583
199526231.5,-1.0321
251188643.2,-3.53373
316227766,-6.22645
398107170.6,-9.13707
501187233.6,-12.2724
630957344.5,-15.6157
794328234.7,-19.1318
1000000000,-22.7762
1258925412,-26.5029
1584893192,-30.2687
1995262315,-34.0324
2511886432,-37.7529
